Rank,Species ID,Species,Family,SF%_Total,DEN_Total,SF%_Expert,DEN_Expert,SF%_Novice,DEN_Novice
74,192,Gray Snapper(Lutjanus griseus),Snapper(Lutjanidae),16.06,2.36,19.71,2.49,14.95,2.3
75,209,Ocean Triggerfish(Canthidermis sufflamen),Triggerfish(Balistidae),15.78,1.63,20.63,1.62,14.3,1.64
76,9,Blackcap Basslet(Gramma melacara),Basslet(Grammatidae),15.73,2.99,26.01,3.07,12.58,2.93
77,130,Hogfish(Lachnolaimus maximus),Wrasse(Labridae),15.67,1.36,17.54,1.35,15.09,1.36
78,153,Yellowtail (Redfin) Parrotfish(Sparisoma rubripinne),Parrotfish(Scaridae),14.6,1.94,22.26,1.92,12.25,1.96
79,91,Black Grouper(Mycteroperca bonaci),Seabass(Serranidae),14.54,1.43,17.25,1.43,13.71,1.42
80,112,Sailors Choice(Haemulon parra),Grunt(Haemulidae),14.45,2.27,16.3,2.3,13.88,2.26
81,25,Honeycomb Cowfish(Acanthostracion polygonius),Boxfish(Ostraciidae),14.38,1.3,17.34,1.32,13.47,1.29
82,147,Greenblotch Parrotfish(Sparisoma atomarium),Parrotfish(Scaridae),14.31,2,28.93,2.02,9.83,1.99
83,683,Red Lionfish (exotic)(Pterois volitans),Scorpionfish(Scorpaenidae),14.18,1.81,15.59,1.77,13.75,1.83
84,111,Porkfish(Anisotremus virginicus),Grunt(Haemulidae),13.5,1.64,16.33,1.54,12.63,1.68
85,19,Saddled Blenny(Malacoctenus triangulatus),Blenny - Labrisomids(Labrisomidae),13.5,1.68,19.48,1.65,11.66,1.7
86,142,Cero(Scomberomorus regalis),Mackerel(Scombridae),12.05,1.45,21.41,1.43,9.18,1.47
87,72,Whitespotted Filefish(Cantherhines macrocerus),Filefish(Monacanthidae),11.95,1.49,16.21,1.48,10.64,1.49
88,27,Smooth Trunkfish(Lactophrys triqueter),Boxfish(Ostraciidae),11.73,1.39,11.15,1.3,11.91,1.42
89,60,Brown Garden Eel(Heteroconger longissimus),Conger(Congridae),11.72,3.46,17.41,3.5,9.98,3.44
90,166,Porcupinefish(Diodon hystrix),Porcupinefish(Diodontidae),11.38,1.22,13.82,1.23,10.63,1.21
91,431,Sharknose Goby(Elacatinus evelynae),Goby(Gobiidae),11.38,1.92,22.33,1.96,8.03,1.88
92,193,Lane Snapper(Lutjanus synagris),Snapper(Lutjanidae),11.36,2.4,13.2,2.46,10.79,2.37
93,188,Reef Shark (Caribbean)(Carcharhinus perezii),Requiem Shark(Carcharhinidae),11.29,1.67,15.73,1.68,9.93,1.66
94,217,Rainbow Wrasse(Halichoeres pictus),Wrasse(Labridae),11.18,2.3,26.81,2.42,6.38,2.16
95,106,Caesar Grunt(Haemulon carbonarium),Grunt(Haemulidae),11.16,2.2,13.54,2.17,10.43,2.21
96,121,Butter Hamlet(Hypoplectrus unicolor),Seabass(Serranidae),10.53,1.43,15.54,1.38,8.99,1.45
97,232,Unidentified Silvery Fish (Silversides / Anchovies / Herrings)(Atheriniformes sp./ Clupeiformes sp.),"Silvery Fishes - Silversides, Herrings, and Anchovies(Atherinidae, Clupeidae, and Engraulidae)",10.43,3.72,8.16,3.71,11.12,3.73
98,230,Sand Diver(Synodus intermedius),Lizardfish(Synodontidae),10.25,1.35,12.53,1.3,9.55,1.38
99,157,Jolthead Porgy(Calamus bajonado),Porgy(Sparidae),10.13,1.6,20.56,1.6,6.93,1.6
100,123,Indigo Hamlet(Hypoplectrus indigo),Seabass(Serranidae),10.08,1.4,9.66,1.31,10.21,1.43
101,66,Spotted Moray(Gymnothorax moringa),Moray(Muraenidae),9.82,1.16,10.99,1.17,9.47,1.16
102,116,Tomtate(Haemulon aurolineatum),Grunt(Haemulidae),9.8,3.09,11.84,3.15,9.17,3.07
103,45,Sunshinefish(Chromis insolata),Damselfish(Pomacentridae),9.57,2.25,18.74,2.28,6.76,2.22
104,151,Rainbow Parrotfish(Scarus guacamaia),Parrotfish(Scaridae),9.48,1.81,4.85,1.46,10.91,1.86
105,235,Atlantic Spadefish(Chaetodipterus faber),Spadefish(Ephippidae),9.33,1.95,10.95,1.92,8.83,1.97
106,144,Blue Parrotfish(Scarus coeruleus),Parrotfish(Scaridae),9.04,1.7,7.91,1.6,9.38,1.72
107,159,Pluma(Calamus pennatula),Porgy(Sparidae),8.71,1.65,11.66,1.65,7.8,1.65
108,172,Yellow Stingray(Urobatis jamaicensis),Round Stingrays(Urolophidae),8.66,1.33,7.73,1.29,8.95,1.35
109,69,Orangespotted Filefish(Cantherhines pullus),Filefish(Monacanthidae),8.38,1.39,10,1.37,7.89,1.4
110,87,Peppermint Goby(Coryphopterus lipernes),Goby(Gobiidae),8.16,1.87,18,1.9,5.14,1.83
111,187,Nurse Shark(Ginglymostoma cirratum),Carpet Shark(Ginglymostomatidae),7.97,1.2,8.32,1.18,7.87,1.21
112,80,Colon Goby(Coryphopterus dicrus),Goby(Gobiidae),7.39,1.82,16.56,1.72,4.58,1.94
113,86,Pallid Goby(Coryphopterus eidolon),Goby(Gobiidae),7.38,1.73,16.19,1.63,4.68,1.83
114,453,Black Jack(Caranx lugubris),Jack(Carangidae),7.2,1.72,13.18,1.66,5.36,1.77
115,231,Sharksucker(Echeneis naucrates),Remora(Echeneidae),7.12,1.52,11.89,1.53,5.66,1.51
116,59,Spotted Drum(Equetus punctatus),Drum(Sciaenidae),6.86,1.19,7.52,1.14,6.66,1.21
117,33,Reef Butterflyfish(Chaetodon sedentarius),Butterflyfish(Chaetodontidae),6.82,1.68,8.58,1.61,6.29,1.71
118,23,Boga(Haemulon vittatum),Grunt(Haemulidae),6.44,2.96,13.91,3.01,4.15,2.91
119,148,Midnight Parrotfish(Scarus coelestinus),Parrotfish(Scaridae),6.41,1.47,6.78,1.34,6.29,1.51
120,180,Creolefish (Atlantic)(Paranthias furcifer),Seabass(Serranidae),6.33,2.44,10.39,2.38,5.09,2.48
121,202,Reef Squirrelfish(Holocentrus coruscus),Squirrelfish(Holocentridae),6.3,1.78,7.27,1.74,6.01,1.8
122,12,Glasseye Snapper(Heteropriacanthus cruentatus),Bigeye(Priacanthidae),6.28,1.7,10.23,1.66,5.07,1.72
123,75,Peacock Flounder(Bothus lunatus),Flounder(Bothidae),6.11,1.21,5.38,1.2,6.33,1.21
124,14,Diamond Blenny(Malacoctenus boehlkei),Blenny - Labrisomids(Labrisomidae),6.09,1.4,10.55,1.35,4.72,1.43
125,226,Redspotted Hawkfish(Amblycirrhitus pinos),Hawkfish(Cirrhitidae),6.09,1.28,11.82,1.25,4.34,1.3
126,229,Yellowfin Mojarra(Gerres cinereus),Mojarra(Gerreidae),5.96,2.23,6.23,2.18,5.88,2.25
127,100,Rock Hind(Epinephelus adscensionis),Seabass(Serranidae),5.93,1.47,4.55,1.24,6.35,1.53
128,13,Arrow Blenny(Lucayablennius zingaro),"Blenny - Pike, tube, and flag(Chaenopsidae)",5.74,1.48,10.85,1.45,4.18,1.5
129,70,Scrawled Filefish(Aluterus scriptus),Filefish(Monacanthidae),5.41,1.24,5.52,1.19,5.38,1.26
130,35,Barred Cardinalfish(Apogon binotatus),Cardinalfish(Apogonidae),5.39,2.02,9.93,2.01,4,2.02
131,28,Spotted Trunkfish(Lactophrys bicaudalis),Boxfish(Ostraciidae),5.38,1.24,5.91,1.12,5.21,1.28
132,36,Belted Cardinalfish(Apogon townsendi),Cardinalfish(Apogonidae),5.17,2.07,11.57,2.07,3.21,2.08
